iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
196	224	252	224	340	224	252	340
197	224	252	224	340	224	252	340
198	224	252	224	340	224	252	340
199	224	252	224	340	224	252	340
200	224	252	224	340	224	252	340
201	224	252	224	340	224	252	340
202	224	252	224	340	224	252	340
203	224	252	224	340	224	252	340
204	224	252	224	340	224	252	340
205	224	252	224	340	224	252	340
206	224	252	224	340	224	252	340
207	224	252	224	340	224	252	340
208	224	252	224	340	224	252	340
209	225	253	225	340	225	253	340
210	225	253	225	340	225	253	340
211	225	253	225	340	225	253	340
212	225	253	225	340	225	253	340
213	225	253	225	340	225	253	340
214	225	253	225	340	225	253	340
215	225	253	225	340	225	253	340
216	225	253	225	340	225	253	340
217	225	253	225	340	225	253	340
218	225	253	225	340	225	253	340
219	225	253	225	340	225	253	340
220	225	253	225	340	225	253	340
221	225	253	225	340	225	253	340
222	225	253	225	340	225	253	340
223	225	253	225	340	225	253	340
224	225	253	225	340	225	253	340
225	225	253	225	340	225	253	340
226	225	253	225	340	225	253	340
227	225	253	225	340	225	253	340
228	225	253	225	340	225	253	340
229	225	253	225	340	225	253	340
230	225	253	225	340	225	253	340
231	225	253	225	340	225	253	340
232	225	253	225	340	225	253	340
233	225	253	225	340	225	253	340
234	225	253	225	340	225	253	340
235	225	253	225	340	225	253	340
236	225	253	225	340	225	253	340
237	225	253	225	340	225	253	340
238	225	253	225	340	225	253	340
239	225	253	225	340	225	253	340
240	225	253	225	340	225	253	340
241	226	254	226	340	226	254	340
242	226	254	226	340	226	254	340
243	226	254	226	340	226	254	340
244	226	254	226	340	226	254	340
245	226	254	226	340	226	254	340
246	226	254	226	340	226	254	340
247	226	254	226	340	226	254	340
248	226	254	226	340	226	254	340
249	226	254	226	340	226	254	340
250	226	254	226	340	226	254	340
251	226	254	226	340	226	254	340
252	227	255	227	340	227	255	340
253	227	255	227	340	227	255	340
254	228	256	228	340	228	256	340
255	228	256	228	340	228	256	340
256	229	257	229	340	229	257	340
257	229	257	229	340	229	257	340
258	229	257	229	340	229	257	340
259	231	259	231	340	231	259	340
260	231	259	231	340	231	259	340
261	232	260	232	340	232	260	340
262	232	260	232	340	232	260	340
263	232	260	232	340	232	260	340
264	232	260	232	340	232	260	340
265	232	260	232	340	232	260	340
266	235	263	235	340	235	263	340
267	235	263	235	340	235	263	340
268	235	263	235	340	235	263	340
269	235	263	235	340	235	263	340
270	235	263	235	340	235	263	340
271	235	263	235	340	235	263	340
272	235	263	235	340	235	263	340
273	235	263	235	340	235	263	340
274	235	263	235	340	235	263	340
275	236	264	236	340	236	264	340
276	236	264	236	340	236	264	340
277	236	264	236	340	236	264	340
278	236	264	236	340	236	264	340
279	236	264	236	340	236	264	340
280	236	264	236	340	236	264	340
281	236	264	236	340	236	264	340
282	233	261	233	340	233	261	340
283	233	261	233	340	233	261	340
284	236	264	236	340	236	264	340
285	236	264	236	340	236	264	340
286	236	264	236	340	236	264	340
287	236	264	236	340	236	264	340
288	236	264	236	340	236	264	340
289	236	264	236	340	236	264	340
290	236	264	236	340	236	264	340
291	236	264	236	340	236	264	340
292	236	264	236	340	236	264	340
293	236	264	236	340	236	264	340
294	236	264	236	340	236	264	340
295	236	264	236	340	236	264	340
296	236	264	236	340	236	264	340
297	238	266	238	340	238	266	340
298	238	266	238	340	238	266	340
299	238	266	238	340	238	266	340
300	238	266	238	340	238	266	340
301	235	263	235	340	235	263	340
302	239	267	239	340	239	267	340
303	239	267	239	340	239	267	340
304	239	267	239	340	239	267	340
305	239	267	239	340	239	267	340
306	239	267	239	340	239	267	340
307	239	267	239	340	239	267	340
308	239	267	239	340	239	267	340
309	239	267	239	340	239	267	340
310	239	267	239	340	239	267	340
311	239	267	239	340	239	267	340
312	239	267	239	340	239	267	340
313	239	267	239	340	239	267	340
314	239	267	239	340	239	267	340
315	239	267	239	340	239	267	340
316	239	267	239	340	239	267	340
317	239	267	239	340	239	267	340
318	239	267	239	340	239	267	340
319	239	267	239	340	239	267	340
320	239	267	239	340	239	267	340
321	239	267	239	340	239	267	340
322	239	267	239	340	239	267	340
323	239	267	239	340	239	267	340
324	239	267	239	340	239	267	340
325	242	270	242	340	242	270	340
326	242	270	242	340	242	270	340
327	242	270	242	340	242	270	340
328	242	270	242	340	242	270	340
329	242	270	242	340	242	270	340
330	242	270	242	340	242	270	340
331	242	270	242	340	242	270	340
332	242	270	242	340	242	270	340
333	242	270	242	340	242	270	340
334	242	270	242	340	242	270	340
335	242	270	242	340	242	270	340
336	242	270	242	340	242	270	340
337	242	270	242	340	242	270	340
338	242	270	242	340	242	270	340
339	242	270	242	340	242	270	340
340	242	270	242	340	242	270	340
341	242	270	242	340	242	270	340
342	242	270	242	340	242	270	340
343	242	270	242	340	242	270	340
344	242	270	242	340	242	270	340
345	242	270	242	340	242	270	340
346	242	270	242	340	242	270	340
347	244	272	244	340	244	272	340
348	244	272	244	340	244	272	340
349	244	272	244	340	244	272	340
350	244	272	244	340	244	272	340
351	244	272	244	340	244	272	340
352	244	272	244	340	244	272	340
353	244	272	244	340	244	272	340
354	244	272	244	340	244	272	340
355	244	272	244	340	244	272	340
356	244	272	244	340	244	272	340
357	244	272	244	340	244	272	340
358	244	272	244	340	244	272	340
359	244	272	244	340	244	272	340
360	244	272	244	340	244	272	340
361	244	272	244	340	244	272	340
362	244	272	244	340	244	272	340
363	244	272	244	340	244	272	340
364	244	272	244	340	244	272	340
365	244	272	244	340	244	272	340
366	244	272	244	340	244	272	340
367	244	272	244	340	244	272	340
368	246	274	246	340	246	274	340
369	246	274	246	340	246	274	340
370	246	274	246	340	246	274	340
371	246	274	246	340	246	274	340
372	246	274	246	340	246	274	340
373	246	274	246	340	246	274	340
374	246	274	246	340	246	274	340
375	246	274	246	340	246	274	340
376	246	274	246	340	246	274	340
377	246	274	246	340	246	274	340
378	246	274	246	340	246	274	340
379	246	274	246	340	246	274	340
380	246	274	246	340	246	274	340
381	246	274	246	340	246	274	340
382	246	274	246	340	246	274	340
383	246	274	246	340	246	274	340
384	246	274	246	340	246	274	340
385	246	274	246	340	246	274	340
386	246	274	246	340	246	274	340
387	246	274	246	340	246	274	340
388	246	274	246	340	246	274	340
389	246	274	246	340	246	274	340
390	246	274	246	340	246	274	340
391	246	274	246	340	246	274	340
392	246	274	246	340	246	274	340
393	246	274	246	340	246	274	340
394	246	274	246	340	246	274	340
395	246	274	246	340	246	274	340
396	246	274	246	340	246	274	340
397	246	274	246	340	246	274	340
398	246	274	246	340	246	274	340
399	246	274	246	340	246	274	340
400	246	274	246	340	246	274	340
401	246	274	246	340	246	274	340
402	246	274	246	340	246	274	340
403	246	274	246	340	246	274	340
404	246	274	246	340	246	274	340
405	246	274	246	340	246	274	340
406	246	274	246	340	246	274	340
407	247	275	247	340	247	275	340
408	247	275	247	340	247	275	340
409	247	275	247	340	247	275	340
410	247	275	247	340	247	275	340
411	247	275	247	340	247	275	340
412	247	275	247	340	247	275	340
413	247	275	247	340	247	275	340
414	247	275	247	340	247	275	340
415	248	276	248	340	248	276	340
416	248	276	248	340	248	276	340
417	248	276	248	340	248	276	340
418	248	276	248	340	248	276	340
419	248	276	248	340	248	276	340
420	248	276	248	340	248	276	340
421	248	276	248	340	248	276	340
422	248	276	248	340	248	276	340
423	248	276	248	340	248	276	340
424	248	276	248	340	248	276	340
425	248	276	248	340	248	276	340
426	248	276	248	340	248	276	340
427	248	276	248	340	248	276	340
428	248	276	248	340	248	276	340
429	248	276	248	340	248	276	340
430	248	276	248	340	248	276	340
431	248	276	248	340	248	276	340
432	248	276	248	340	248	276	340
433	248	276	248	340	248	276	340
434	248	276	248	340	248	276	340
435	248	276	248	340	248	276	340
436	248	276	248	340	248	276	340
437	248	276	248	340	248	276	340
438	248	276	248	340	248	276	340
439	248	276	248	340	248	276	340
440	248	276	248	340	248	276	340
441	248	276	248	340	248	276	340
442	248	276	248	340	248	276	340
443	248	276	248	340	248	276	340
444	248	276	248	340	248	276	340
445	248	276	248	340	248	276	340
446	248	276	248	340	248	276	340
447	248	276	248	340	248	276	340
448	249	277	249	340	249	277	340
449	249	277	249	340	249	277	340
450	249	277	249	340	249	277	340
451	249	277	249	340	249	277	340
452	249	277	249	340	249	277	340
453	249	277	249	340	249	277	340
454	249	277	249	340	249	277	340
455	249	277	249	340	249	277	340
456	247	275	247	340	247	275	340
457	247	275	247	340	247	275	340
458	247	275	247	340	247	275	340
459	247	275	247	340	247	275	340
460	249	277	249	340	249	277	340
461	247	275	247	340	247	275	340
462	247	275	247	340	247	275	340
463	247	275	247	340	247	275	340
464	247	275	247	340	247	275	340
465	248	276	248	340	248	276	340
466	248	276	248	340	248	276	340
467	248	276	248	340	248	276	340
468	247	275	247	340	247	275	340
469	247	275	247	340	247	275	340
470	247	275	247	340	247	275	340
471	248	276	248	340	248	276	340
472	248	276	248	340	248	276	340
473	248	276	248	340	248	276	340
474	248	276	248	340	248	276	340
475	248	276	248	340	248	276	340
476	248	276	248	340	248	276	340
477	248	276	248	340	248	276	340
478	248	276	248	340	248	276	340
479	248	276	248	340	248	276	340
480	248	276	248	340	248	276	340
481	248	276	248	340	248	276	340
482	248	276	248	340	248	276	340
483	248	276	248	340	248	276	340
484	248	276	248	340	248	276	340
485	248	276	248	340	248	276	340
486	248	276	248	340	248	276	340
